574,1028,1114,
1330,
69,70,49,
542,561,577,
67,14,19,71,
431,447,461,468,
789,788,712,851,888,
1357,
107,32,
557,
795,863,866,881,
1172,1239,1249,1251,
450,443,487,
1014,974,819,976,
924,
1213,1214,1229,1241,
286,279,309,
840,
1203,1175,1182,1209,
66,
95,
947,
998,
1255,1276,1290,1291,
1066,1060,1072,1048,
1325,
57,
1054,324,1064,
1324,
420,366,409,413,
898,907,928,
1111,1296,1297,1302,
133,
367,609,435,
62,
531,130,
1039,
33,
996,
1102,
1165,1137,1181,
1044,
1109,1212,1191,
308,
821,777,793,823,
551,1077,1084,1085,
1266,1344,1349,1354,
34,139,252,306,227,
731,758,760,
1158,1161,
140,
582,630,634,563,626,
1007,967,1026,
1277,1282,1289,
166,
595,590,643,696,
170,174,176,
387,652,663,
894,923,958,959,
1258,
1259,
1270,1283,
42,86,
444,501,596,
621,591,637,
1145,
1392,
983,1041,
1173,1298,1300,1301,
674,744,560,794,
1226,1228,1250,
31,98,
486,490,494,483,
933,
1143,
1197,
984,997,999,1004,
1194,
180,185,
709,714,613,695,702,
1063,1068,1061,
1305,1321,1329,1338,
1218,1220,
1235,
1219,1248,1263,
2,
223,246,
771,750,
1076,1151,1170,
1352,1364,1377,
200,203,218,
698,
378,284,345,375,169,
875,896,908,912,
1177,
921,
1288,
1103,1118,1091,
1332,1310,
189,
578,
962,
1275,
85,28,
427,437,455,
213,216,224,237,
669,
971,992,1040,1043,890,
50,
65,
1231,
144,187,190,234,
664,707,680,
364,442,469,
978,
922,948,995,
124,110,125,151,
598,599,202,
217,219,257,
699,679,697,700,
68,
465,
464,508,514,
192,
612,
886,828,885,
1287,
1216,
400,
879,
129,
541,555,481,559,
1019,
1292,
54,
1095,1093,1115,
1358,1365,
1156,
1353,
13,
919,920,
1237,1260,1261,
1370,1322,1373,
412,421,
837,
1208,
108,43,92,94,
496,538,540,583,
964,883,977,985,
498,533,523,
328,355,368,369,
938,926,951,
27,
48,
177,115,
904,
1159,
1359,1206,
266,269,270,294,305,
720,759,748,768,
303,
822,765,725,724,
157,137,
649,617,644,645,605,
204,322,329,
518,780,783,787,831,
1185,1190,
546,
1351,1360,1363,
950,
1135,1140,1176,
1342,1374,
111,
402,459,478,
937,935,954,
1265,1268,1272,1284,
1385,
632,1056,1070,
1326,
1074,1087,1148,1094,
1309,1316,1333,1341,
414,
1006,1011,1017,746,
1256,
1369,
215,206,214,
659,
207,
655,622,660,467,667,
855,867,834,910,
1215,1233,
1245,
781,
1149,
1355,
1303,1331,
429,377,150,
1024,1031,1032,
183,165,
584,623,625,647,
965,
127,173,52,47,
553,624,631,642,
275,276,274,
394,666,665,653,
280,316,314,302,253,
869,
122,126,132,119,136,
635,640,657,
1347,
362,346,398,
856,859,862,864,757,860,
1278,
93,
267,271,272,
739,
1022,990,1042,1055,
1314,
38,
225,228,117,194,212,222,
735,
1127,1116,1122,
415,
874,
167,230,264,
209,229,236,247,
675,
260,256,261,
688,692,701,651,
1117,736,1150,
1320,
684,687,726,
1162,1180,1222,
576,554,543,568,
810,877,902,
1375,
251,250,255,121,
743,706,611,704,
1092,1079,1081,1096,
357,
785,811,799,
1016,1038,
1343,
391,406,425,
825,849,887,899,
423,426,432,
934,936,945,968,
1294,1279,1285,
741,740,742,521,
1339,
335,
670,
734,791,766,
326,
807,832,839,865,
1018,
164,182,193,148,
572,
646,638,648,650,
1035,1036,
340,291,343,
769,723,762,779,
1136,
336,338,235,
792,797,798,
1164,1139,1113,
337,
226,232,254,
454,694,686,
312,301,341,349,373,
16,334,359,
78,
522,525,504,528,
75,76,79,20,80,
552,534,544,
961,979,
63,
396,395,417,430,
408,411,416,
307,310,298,
713,717,721,
485,
970,941,
1308,
372,
